<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.03	03:00:00	1.31549	1.31599	1.31344	1.31375	2525	0	8
2020.01.03	04:00:00	1.31375	1.31434	1.31228	1.31276	3464	0	8
2020.01.03	05:00:00	1.31276	1.31378	1.31266	1.31361	3230	0	8
2020.01.03	06:00:00	1.31360	1.31371	1.31243	1.31257	2139	0	8
2020.01.03	07:00:00	1.31257	1.31289	1.31156	1.31210	2181	0	8
2020.01.03	08:00:00	1.31210	1.31237	1.31052	1.31235	2257	0	8
2020.01.03	09:00:00	1.31233	1.31233	1.30826	1.30911	5044	0	8
2020.01.03	10:00:00	1.30910	1.31177	1.30863	1.30976	5546	0	8
2020.01.03	11:00:00	1.30973	1.31002	1.30664	1.30676	5519	0	8
2020.01.03	12:00:00	1.30679	1.30881	1.30677	1.30779	4408	0	8
2020.01.03	13:00:00	1.30779	1.30786	1.30532	1.30586	3849	0	8
2020.01.03	14:00:00	1.30586	1.30820	1.30538	1.30799	4177	0	8
2020.01.03	15:00:00	1.30799	1.31091	1.30718	1.30722	3856	0	8
2020.01.03	16:00:00	1.30721	1.30898	1.30677	1.30691	4643	0	8
2020.01.03	17:00:00	1.30691	1.30938	1.30688	1.30713	5496	0	8
2020.01.03	18:00:00	1.30711	1.30986	1.30691	1.30894	4053	0	8
2020.01.03	19:00:00	1.30894	1.30935	1.30801	1.30879	3289	0	8
2020.01.03	20:00:00	1.30879	1.30897	1.30725	1.30823	3627	0	8
2020.01.03	21:00:00	1.30836	1.30847	1.30745	1.30782	4471	0	8
2020.01.03	22:00:00	1.30782	1.30786	1.30715	1.30730	1797	0	8
2020.01.03	23:00:00	1.30730	1.30793	1.30704	1.30786	915	0	8
2020.01.06	00:00:00	1.30840	1.30863	1.30647	1.30688	624	0	10
2020.01.06	01:00:00	1.30685	1.30844	1.30640	1.30769	1763	0	8
2020.01.06	02:00:00	1.30769	1.30880	1.30766	1.30799	1898	0	8
2020.01.06	03:00:00	1.30800	1.30813	1.30752	1.30789	1611	0	8
2020.01.06	04:00:00	1.30789	1.30880	1.30788	1.30870	1448	0	8
2020.01.06	05:00:00	1.30870	1.30904	1.30807	1.30816	1222	0	8
2020.01.06	06:00:00	1.30816	1.30864	1.30805	1.30837	961	0	8
2020.01.06	07:00:00	1.30836	1.30856	1.30795	1.30808	991	0	8
2020.01.06	08:00:00	1.30807	1.30832	1.30683	1.30822	2307	0	8
2020.01.06	09:00:00	1.30823	1.30944	1.30698	1.30728	4377	0	8
2020.01.06	10:00:00	1.30730	1.31082	1.30637	1.31053	5230	0	8
2020.01.06	11:00:00	1.31056	1.31483	1.31028	1.31429	6542	0	8
2020.01.06	12:00:00	1.31436	1.31733	1.31378	1.31521	5594	0	8
2020.01.06	13:00:00	1.31531	1.31742	1.31506	1.31563	4402	0	8
2020.01.06	14:00:00	1.31563	1.31567	1.31381	1.31384	3854	0	8
2020.01.06	15:00:00	1.31386	1.31487	1.31343	1.31402	3781	0	8
2020.01.06	16:00:00	1.31402	1.31608	1.31330	1.31362	4531	0	8
2020.01.06	17:00:00	1.31362	1.31621	1.31333	1.31584	4390	0	8
2020.01.06	18:00:00	1.31585	1.31695	1.31517	1.31621	3596	0	8
2020.01.06	19:00:00	1.31621	1.31740	1.31560	1.31589	2824	0	8
2020.01.06	20:00:00	1.31589	1.31672	1.31574	1.31575	2160	0	8
2020.01.06	21:00:00	1.31575	1.31639	1.31551	1.31626	2194	0	8
2020.01.06	22:00:00	1.31628	1.31672	1.31589	1.31658	1652	0	8
2020.01.06	23:00:00	1.31658	1.31681	1.31637	1.31677	1122	0	8
